hz,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,Marker
51,0.0002504613245784954,-0.0013765813778625763,-0.001998736013251334,-0.0004908733223128025,-0.005579366238209462,-0.002333189636351249,-0.0003263085662942861,-0.0034365846605340393,-0.004148010929823402,-0.005193205755165565,-0.0017380609174756296,-0.0027117296239331824,-0.0024239686243203917,-0.00164326314459924,-0.0007398228806227477,REST
52,0.00020637654362800424,-0.0013815299121729958,-0.002004809741711123,-0.0005043478857225784,-0.005574429959601785,-0.0023166372859484154,-0.0003403789055010548,-0.0034376304412236953,-0.004140941992845242,-0.005206104657923601,-0.0017493430997863216,-0.0027094056666715207,-0.0024354317591234876,-0.0016469865297031655,-0.0007432076599592769,REST
53,0.00016195883857240858,-0.0013861576066680939,-0.002010521524320793,-0.0005176265859721089,-0.005568045030408566,-0.002299690589323208,-0.0003543861099186939,-0.0034376939350186687,-0.004133183422996426,-0.005217838084124788,-0.0017601303411438713,-0.0027065664561386478,-0.002446446397695575,-0.0016502069178914432,-0.0007467318401244254,REST
54,0.0001172321349582491,-0.001390471866734396,-0.002015875698669796,-0.0005307046574986975,-0.005560232482106224,-0.0022823606235711992,-0.0003683108153380264,-0.0034367852593533968,-0.004124744715115015,-0.005228414191704369,-0.0017704223067159315,-0.002703220281427136,-0.0024570179689289134,-0.0016529326445205521,-0.0007504025718168093,REST
55,7.222063073787351e-05,-0.0013944804163495547,-0.0020208768616734483,-0.0005435766818131726,-0.005551014439353532,-0.0022646585202046486,-0.0003821385857990587,-0.0034349153305229746,-0.004115635644897265,-0.005237841998196741,-0.001780219061354503,-0.002699375778035418,-0.0024671522956796815,-0.001655172592609619,-0.0007542258215969568,REST
56,2.69487796523036e-05,-0.001398191284705735,-0.002025529861747407,-0.00055623660099712,-0.005540414090065914,-0.0022465954553205266,-0.00039545758248029034,-0.0034320958481257532,-0.004105866261401858,-0.005246131365562018,-0.001789521062173653,-0.002695041917775482,-0.00247685558351083,-0.0016569361774447795,-0.0007582061349208815,REST
57,-1.8558725926066553e-05,-0.0014016127924828673,-0.002029839790931466,-0.0005686777870364714,-0.005528455654413655,-0.002228182639911526,-0.00040821254748591297,-0.0034283392786977947,-0.004095446879495361,-0.005253292984146648,-0.0017983291510598881,-0.002690227998570884,-0.0024861344092362847,-0.0016582333306956716,-0.0007623468356242364,REST
58,-6.427697483075794e-05,-0.0014047535377223563,-0.002033811978199065,-0.0005808931928425438,-0.005515164352188891,-0.0022094313108735556,-0.0004203491693784969,-0.00342365883817361,-0.004084388072643202,-0.005259338354987043,-0.001806644549422298,-0.0026849436356332006,-0.00249499571064715,-0.0016590744851426892,-0.0007668695635818939,REST
59,-0.0001101808571462718,-0.0014076223813999746,-0.0020374519825646347,-0.0005928756011468891,-0.005500566369263804,-0.0021903527221010387,-0.0004318140720363437,-0.0034180684736386385,-0.004072700665596332,-0.005264279771408005,-0.001814468852582603,-0.0026791987523465247,-0.0025034467758804635,-0.0016594705588148066,-0.0007717512810128846,REST
60,-0.00015624508363517458,-0.0014102284327445233,-0.0020407655855381505,-0.0006046179622186962,-0.005484688823407872,-0.0021709581354764614,-0.000442554533679772,-0.003411582844543584,-0.004060395726828493,-0.005268130300246585,-0.0018218040229572728,-0.002673003570317527,-0.0025114952319341926,-0.0016594329381596155,-0.0007769726270040076,REST
61,-0.00020244420531763375,-0.0014125810342979544,-0.002043758783384867,-0.000616113757201106,-0.005467559729291062,-0.00215125881196225,-0.00045251775754930344,-0.0034042173032637958,-0.004047484560874909,-0.0052709037624298636,-0.0018286523828834264,-0.002666368599142451,-0.002519149032843504,-0.0016589734606638749,-0.0007825188705430685,REST
62,-0.0002487526334812684,-0.0014146897467286399,-0.0020464377793682205,-0.0006273572310178835,-0.005449207962636735,-0.002131266002879028,-0.00046164951364578634,-0.003395987874976308,-0.0040339787006318266,-0.005272614712821455,-0.001835016607416442,-0.0026593046261053632,-0.0025264164477218055,-0.001658104397097968,-0.0007883805294504635,REST
63,-0.0002951446598491161,-0.00141656433342738,-0.002048808975841035,-0.0006384458971719653,-0.005429663223641113,-0.002110990941315458,-0.00046994318783598983,-0.0033869112369266517,-0.004019889899574684,-0.00527327841945995,-0.0018408997168422086,-0.0026518227056456047,-0.0025333060485221754,-0.0016568384332840379,-0.0007948115991877468,REST
64,-0.00034159447677804865,-0.001418214744911336,-0.002050878966132698,-0.0006493867314170468,-0.005408955999736752,-0.0020904448336511983,-0.00047734113741319524,-0.0033770046971322264,-0.004005230123879323,-0.005272910842258377,-0.0018463050688015178,-0.0026439341485317417,-0.0025398266974666645,-0.0016551886513602614,-0.0008018413313475893,REST
65,-0.0003880761975483978,-0.0014196511030552382,-0.002052654526287346,-0.0006601867650331046,-0.005387117527725811,-0.0020696388512217033,-0.00048377837234193303,-0.003366286172535576,-0.003990011544465693,-0.005271528611163151,-0.001851236350124514,-0.002635650510808642,-0.002545987534210658,-0.00165316851060827,-0.0008095024399056613,REST
66,-0.00043456387676387754,-0.0014208836851706944,-0.002054142606684601,-0.0006708530745631658,-0.005364179755321143,-0.0020485841221429624,-0.0004898964460940483,-0.0033547741666289047,-0.003974246528975724,-0.005269149003787049,-0.0018556975684295887,-0.0026269835825560557,-0.0025517979627833797,-0.001650791827890415,-0.0008171984329731334,REST
67,-0.0004810315308164751,-0.0014219229079566647,-0.002055350323537856,-0.0006813927715503276,-0.005340175302151308,-0.00202729172329777,-0.0004957060412614903,-0.003342487746583339,-0.003957947633685184,-0.00526578992255545,-0.001859693043472541,-0.0026179453764532063,-0.0025572676383051217,-0.0016480727577120034,-0.0008248891003272853,REST
68,-0.0005274531583825393,-0.0014227793113438369,-0.0020562849502717916,-0.0006918129922799923,-0.005315137420283011,-0.0020057726724878474,-0.0005012179618608701,-0.003329446519914632,-0.0039411275953514045,-0.005261469871401278,-0.0018632273982444837,-0.0026085481161520147,-0.0025624064534892927,-0.0016450257719296958,-0.0008325303847609666,REST
69,-0.0005738027609380556,-0.0014234635422550794,-0.00205695390879338,-0.000702120887542584,-0.00528909995430858,-0.0019840379207613067,-0.0005064431218313055,-0.0033156706107136487,-0.003923799323002936,-0.0052562079320359655,-0.0018663055498403867,-0.0025988042244767065,-0.0025672245249514346,-0.0016416656391386143,-0.0008400744228067158,REST
70,-0.0006200543632781132,-0.0014239863383042647,-0.0020573647606688694,-0.0007123236124304782,-0.005262097301047496,-0.001962098344924001,-0.0005113925335034656,-0.003301180635470793,-0.0039059758896764036,-0.005250023739825333,-0.001868932700117075,-0.0025887263114656163,-0.002571732179345551,-0.0016380074037693896,-0.00084747032058812,REST
71,-0.0006661820340180778,-0.0014243585114559801,-0.0020575251982151645,-0.0007224283161793359,-0.005234164368912871,-0.0019399647402410717,-0.0005160772960496194,-0.0032859976785252092,-0.0038876705241047307,-0.005242937459302309,-0.0018711143261516748,-0.0025783271622660552,-0.0025759399393435315,-0.0016340663649230462,-0.0008546651159785537,REST
72,-0.0007121599060548539,-0.001424590931668647,-0.002057443035514474,-0.0007324421320643017,-0.005205336536994199,-0.0019176478133350009,-0.0005205085839246019,-0.003270143267169815,-0.0038688966023607855,-0.0052349697593484625,-0.0018728561705125277,-0.0025676197248937762,-0.002579858509474067,-0.0016298580549721471,-0.0008616046813287597,REST
73,-0.0007579621969691802,-0.0014246945105434233,-0.0020571261993625324,-0.0007423721673626278,-0.005175649613906642,-0.00189515817528674,-0.0005246976353081882,-0.003253639346442888,-0.003849667639461131,-0.00522614178807527,-0.0018741642313573545,-0.002556617097870359,-0.002583498761839144,-0.0016253982179581365,-0.0008682345202762527,REST
74,-0.0008035632293497408,-0.0014246801850011774,-0.0020565827201606806,-0.0007522254933940872,-0.005145139796457475,-0.001872506334946206,-0.0005286557405593302,-0.003236508253637343,-0.003829997280934414,-0.005216475147436639,-0.001875044752373238,-0.002545332517751862,-0.0025868717217261247,-0.0016207027878148302,-0.0008745005105179833,REST
75,-0.0008489374510192388,-0.0014245589010097562,-0.0020558207227615905,-0.0007620091356500554,-0.005113843628180428,-0.001849702692457853,-0.0005323942306923715,-0.0032187726925589693,-0.003809899294358851,-0.0052059918676043045,-0.0018755042125723357,-0.002533779346561553,-0.002589988553132966,-0.0016157878664476912,-0.0008803496519037874,REST
76,-0.0008940594551426714,-0.0014243415973836488,-0.002054848417278468,-0.0007717300640220138,-0.005081797957788469,-0.001826757533006849,-0.0005359244658853883,-0.003200455707565176,-0.00378938756087317,-0.005194714381137874,-0.0018755493159571858,-0.002521971059139638,-0.002592860544224187,-0.0016106697016986726,-0.0008857308017006818,REST
77,-0.0009389040001984713,-0.0014240391896779183,-0.0020536740898676807,-0.0007813951831402031,-0.005049039897595462,-0.0018036810207909548,-0.0005392578240307773,-0.00318158065741577,-0.0037684760666655366,-0.00518266549698133,-0.0018751869810697986,-0.0025099212304231376,-0.0025954990927353266,-0.0016053646652264763,-0.0008905952172751684,REST
78,-0.000983446029793384,-0.0014236625541981318,-0.002052306093494795,-0.0007910113228330333,-0.005015606781956787,-0.0017804831932230715,-0.0005424056893380989,-0.0031621711889673132,-0.00374717889444481,-0.005169868374317525,-0.001874424330438868,-0.0024976435226691167,-0.002597915691343675,-0.0015998892303321411,-0.0008948964852047394,REST
79,-0.0010276606923020162,-0.0014232225121477687,-0.0020507528386938686,-0.000800585228717666,-0.00498153612577878,-0.0017571739553689427,-0.0005453794409991557,-0.0031422512107426603,-0.003725510214898646,-0.005156346496312411,-0.0018732686799390642,-0.0024851516726343975,-0.0026001219130229055,-0.0015942599497597437,-0.0008987064648176873,REST
80,-0.0010715233603122093,-0.0014227298139343357,-0.002049022784329839,-0.0008101235529319506,-0.004946865583146486,-0.001733763074624212,-0.000548190441925111,-0.0031218448664073035,-0.0037034842781427774,-0.005142123643780521,-0.0018717275280766706,-0.0024724594787249206,-0.0026021293963992007,-0.0015884934335018725,-0.0009020596728864249,REST
81,-0.0011150096498576544,-0.001422195123655121,-0.002047124428373808,-0.0008196328450177865,-0.0049116329061188084,-0.001710260175634718,-0.000550850027565407,-0.0031009765081839616,-0.0036811154051659056,-0.005127223868803051,-0.0018698085452154812,-0.0024595807881279135,-0.002603949831126417,-0.0015826063266394757,-0.0009049900758092618,REST
